X,Y,Z,MINED,cu_bh_nn,cu_50,domain
1782.5,657.5,112.5,15,0.435,0.488,3310
1782.5,682.5,112.5,15,0.435,0.518,3310
1782.5,707.5,112.5,15,0.464,0.518,3310
1782.5,732.5,112.5,15,0.466,0.595,3310
1782.5,757.5,112.5,15,0.539,0.595,3310
1782.5,782.5,112.5,15,0.539,0.603,3310
1782.5,807.5,112.5,13,0.511,0.603,3310
1782.5,832.5,112.5,13,0.825,0.669,3310
1782.5,857.5,112.5,13,0.759,0.669,3310
1782.5,882.5,112.5,13,0.68,0.681,3310
1807.5,607.5,162.5,13,0.469,0.497,3310
1807.5,657.5,112.5,15,0.449,0.488,3310
1807.5,682.5,112.5,15,0.449,0.518,3310
1807.5,707.5,112.5,15,0.393,0.518,3310
1807.5,732.5,112.5,15,0.457,0.595,3310
1807.5,757.5,112.5,15,0.54,0.595,3310
1807.5,782.5,112.5,15,0.656,0.603,3310
1807.5,807.5,112.5,13,0.534,0.603,3310
1807.5,832.5,112.5,13,0.714,0.669,3310
1807.5,857.5,112.5,13,0.608,0.669,3310
1807.5,882.5,112.5,13,0.643,0.681,3310
1832.5,657.5,112.5,15,0.462,0.49,3310
1832.5,682.5,112.5,15,0.462,0.506,3310
1832.5,707.5,112.5,15,0.49,0.506,3310
1832.5,732.5,112.5,15,0.567,0.563,3310
1832.5,757.5,112.5,15,0.502,0.563,3310
1832.5,782.5,112.5,15,0.449,0.606,3310
1832.5,807.5,112.5,13,0.526,0.606,3310
1832.5,832.5,112.5,13,0.555,0.636,3310
1832.5,857.5,112.5,13,0.608,0.636,3310
1832.5,882.5,112.5,13,0.461,0.703,3310
1857.5,607.5,162.5,13,0.509,0.493,3310
1857.5,657.5,112.5,15,0.428,0.49,3210
1857.5,682.5,112.5,15,0.428,0.506,3210
1857.5,707.5,112.5,15,0.537,0.506,3310
1857.5,732.5,112.5,15,0.585,0.563,3310
1857.5,757.5,112.5,15,0.606,0.563,3310
1857.5,782.5,112.5,15,0.65,0.606,3310
1857.5,807.5,112.5,13,0.636,0.606,3310
1857.5,832.5,112.5,13,0.627,0.636,3310
1857.5,857.5,112.5,13,0.497,0.636,3310
1857.5,882.5,112.5,13,0.497,0.703,3310
1882.5,607.5,162.5,13,0.532,0.484,3310
1882.5,657.5,112.5,15,0.54,0.502,3210
1882.5,682.5,112.5,15,0.54,0.491,3210
1882.5,707.5,112.5,15,0.578,0.491,3310
1882.5,732.5,112.5,15,0.563,0.523,3310
1882.5,757.5,112.5,15,0.728,0.523,3310
1882.5,782.5,112.5,15,0.707,0.576,3310
1882.5,807.5,112.5,13,0.661,0.576,3310
1882.5,832.5,112.5,13,0.593,0.588,3310
1882.5,857.5,112.5,13,0.589,0.588,3310
1882.5,882.5,112.5,13,0.589,0.666,3310
1907.5,607.5,162.5,13,0.493,0.484,3310
1907.5,657.5,112.5,15,0.489,0.502,3210
1907.5,682.5,112.5,15,0.446,0.491,3210
1907.5,707.5,112.5,15,0.589,0.491,3210
1907.5,732.5,112.5,15,0.517,0.523,3210
1907.5,757.5,112.5,15,0.964,0.523,3310
1907.5,782.5,112.5,13,0.532,0.576,3310
1907.5,807.5,112.5,13,0.759,0.576,3310
1907.5,832.5,112.5,13,0.524,0.588,3310
1907.5,857.5,112.5,13,0.456,0.588,3310
1907.5,882.5,112.5,13,0.517,0.666,3310
1932.5,607.5,162.5,13,0.498,0.447,3310
1932.5,657.5,112.5,15,0.489,0.52,3210
1932.5,682.5,112.5,15,0.489,0.477,3210
1932.5,707.5,112.5,15,0.861,0.477,3210
1932.5,732.5,112.5,15,2.294,0.507,3210
1932.5,757.5,112.5,15,1.048,0.507,3310
1932.5,782.5,112.5,13,1.031,0.545,3310
1932.5,807.5,112.5,13,0.567,0.545,3310
1932.5,832.5,112.5,13,0.525,0.563,3310
1932.5,857.5,112.5,13,0.651,0.563,3310
1932.5,882.5,112.5,13,0.443,0.627,3310
1957.5,657.5,112.5,15,0.519,0.52,3310
1957.5,682.5,112.5,15,0.423,0.477,3310
1957.5,707.5,112.5,15,1.58,0.477,3210
1957.5,732.5,112.5,15,3.075,0.507,3210
1957.5,757.5,112.5,15,1.048,0.507,3210
1957.5,782.5,112.5,13,1.684,0.545,3210
1957.5,807.5,112.5,13,0.494,0.545,3210
1957.5,832.5,112.5,13,0.556,0.563,3210
1957.5,857.5,112.5,13,0.621,0.563,3310
1957.5,882.5,112.5,13,0.416,0.627,3310
1982.5,657.5,112.5,15,0.46,0.553,3310
1982.5,682.5,112.5,15,1.13,0.58,3310
1982.5,707.5,112.5,15,0.896,0.58,3210
1982.5,732.5,112.5,15,0.833,0.585,3210
1982.5,757.5,112.5,15,0.769,0.585,3210
1982.5,782.5,112.5,13,0.778,0.576,3210
1982.5,807.5,112.5,13,0.338,0.576,3210
1982.5,832.5,112.5,13,0.547,0.525,3210
1982.5,857.5,112.5,13,0.59,0.525,3310
1982.5,882.5,112.5,13,0.609,0.507,3310
2007.5,657.5,112.5,15,0.843,0.553,3310
2007.5,682.5,112.5,15,1.246,0.58,3310
2007.5,707.5,112.5,15,0.968,0.58,3210
2007.5,732.5,112.5,15,0.858,0.585,3210
2007.5,757.5,112.5,14,0.671,0.585,3210
2007.5,782.5,112.5,13,0.358,0.576,3210
2007.5,807.5,112.5,13,0.392,0.576,3210
2007.5,832.5,112.5,13,0.561,0.525,3210
2007.5,857.5,112.5,13,0.527,0.525,3210
2007.5,882.5,112.5,13,0.403,0.507,3210
2032.5,657.5,112.5,15,1.247,0.565,3310
2032.5,682.5,112.5,15,1.073,0.582,3310
2032.5,707.5,112.5,15,1.242,0.582,3210
2032.5,732.5,112.5,15,0.642,0.562,3210
2032.5,757.5,112.5,14,0.642,0.562,3210
2032.5,782.5,112.5,13,0.449,0.556,3210
2032.5,807.5,112.5,13,0.464,0.556,3210
2032.5,832.5,112.5,13,0.722,0.51,3210
2032.5,857.5,112.5,13,0.486,0.51,3210
2032.5,882.5,112.5,13,0.396,0.527,3210
2057.5,657.5,112.5,15,0.641,0.565,3310
2057.5,682.5,112.5,15,0.704,0.582,3310
2057.5,707.5,112.5,15,0.508,0.582,3310
2057.5,732.5,112.5,15,0.547,0.562,3310
2057.5,757.5,112.5,15,0.57,0.562,3210
2057.5,782.5,112.5,13,0.398,0.556,3210
2057.5,807.5,112.5,13,0.468,0.556,3210
2057.5,832.5,112.5,13,0.378,0.51,3210
2057.5,857.5,112.5,13,0.365,0.51,3210
2057.5,882.5,112.5,13,0.446,0.527,3210
2082.5,657.5,112.5,15,0.521,0.564,3310
2082.5,682.5,112.5,15,0.58,0.556,3310
2082.5,707.5,112.5,15,0.472,0.556,3310
2082.5,732.5,112.5,15,0.489,0.556,3310
2082.5,757.5,112.5,15,0.512,0.556,3210
2082.5,782.5,112.5,13,0.501,0.528,3210
2082.5,807.5,112.5,13,0.558,0.528,3210
2082.5,832.5,112.5,13,0.563,0.499,3210
2082.5,857.5,112.5,13,0.41,0.499,3210
2082.5,882.5,112.5,13,0.723,0.506,3210
2107.5,657.5,112.5,15,0.484,0.564,3310
2107.5,682.5,112.5,15,0.484,0.556,3310
2107.5,707.5,112.5,15,0.439,0.556,3310
2107.5,732.5,112.5,15,0.479,0.556,3310
2107.5,757.5,112.5,14,0.498,0.556,3210
2107.5,782.5,112.5,13,0.603,0.528,3210
2107.5,807.5,112.5,13,0.558,0.528,3210
2107.5,832.5,112.5,13,0.484,0.499,3210
2107.5,857.5,112.5,13,0.505,0.499,3210
2107.5,882.5,112.5,13,0.558,0.506,3210
2132.5,657.5,112.5,15,0.5,0.386,3310
2132.5,682.5,112.5,15,0.352,0.374,3310
2132.5,707.5,112.5,15,0.432,0.374,3310
2132.5,732.5,112.5,15,0.675,0.484,3310
2132.5,757.5,112.5,14,0.675,0.484,3210
2132.5,782.5,112.5,14,0.547,0.484,3210
2132.5,807.5,112.5,13,0.47,0.484,3210
2132.5,832.5,112.5,13,0.549,0.487,3210
2132.5,857.5,112.5,13,0.385,0.487,3210
2132.5,882.5,112.5,13,0.48,0.487,3210
2157.5,582.5,162.5,13,0.396,0.387,3521
2157.5,657.5,112.5,15,0.365,0.386,3521
2157.5,682.5,112.5,15,0.336,0.374,3521
2157.5,707.5,112.5,15,0.513,0.374,3521
2157.5,732.5,112.5,15,0.498,0.484,3521
2157.5,757.5,112.5,14,0.574,0.484,3321
2157.5,782.5,112.5,14,0.46,0.484,3321
2157.5,807.5,112.5,13,0.518,0.484,3221
2157.5,832.5,112.5,13,0.603,0.487,3221
2157.5,857.5,112.5,13,0.385,0.487,3221
2157.5,882.5,112.5,13,0.532,0.487,3221
2182.5,657.5,112.5,15,0.45,0.352,3521
2182.5,682.5,112.5,15,0.488,0.363,3521
2182.5,707.5,112.5,15,0.369,0.363,3521
2182.5,732.5,112.5,15,0.346,0.473,3521
2182.5,757.5,112.5,14,0.346,0.473,3321
2182.5,782.5,112.5,14,0.688,0.456,3321
2182.5,807.5,112.5,15,0.351,0.456,3221
2182.5,832.5,112.5,13,0.411,0.48,3221
2182.5,857.5,112.5,13,0.509,0.48,3221
2182.5,882.5,112.5,13,0.513,0.474,3221
2207.5,657.5,112.5,15,0.32,0.352,3521
2207.5,682.5,112.5,15,0.304,0.363,3521
2207.5,707.5,112.5,15,0.261,0.363,3521
2207.5,732.5,112.5,15,0.327,0.473,3521
2207.5,782.5,112.5,14,0.585,0.456,3221
2207.5,807.5,112.5,14,0.314,0.456,3221
2207.5,832.5,112.5,13,0.357,0.48,3221
2207.5,857.5,112.5,13,0.395,0.48,3221
2207.5,882.5,112.5,13,0.379,0.474,3221
2232.5,657.5,112.5,15,0.295,0.331,3521
2232.5,682.5,112.5,15,0.3,0.447,3521
2232.5,707.5,112.5,15,0.354,0.447,3521
2232.5,782.5,112.5,14,0.175,0.432,3221
2232.5,807.5,112.5,14,0.365,0.432,3221
2232.5,832.5,112.5,14,0.366,0.443,3221
2232.5,857.5,112.5,15,0.335,0.443,3221
2232.5,882.5,112.5,14,0.431,0.469,3221
2257.5,782.5,112.5,14,0.373,0.432,3221
2257.5,807.5,112.5,15,0.365,0.432,3221
2257.5,832.5,112.5,15,0.381,0.443,3221
2257.5,857.5,112.5,15,0.319,0.443,3221
2257.5,882.5,112.5,14,0.318,0.469,3221
2282.5,782.5,112.5,14,0.364,0.415,3221
2282.5,807.5,112.5,15,0.269,0.415,3221
2282.5,832.5,112.5,15,0.318,0.421,3221
2282.5,857.5,112.5,15,0.402,0.421,3221
2282.5,882.5,112.5,15,0.422,0.4,3221
2307.5,607.5,162.5,13,0.326,0.383,3521
2307.5,782.5,112.5,14,0.323,0.415,3221
2307.5,807.5,112.5,15,0.349,0.415,3221
2307.5,832.5,112.5,15,0.458,0.421,3221
2307.5,857.5,112.5,15,0.402,0.421,3221
2307.5,882.5,112.5,15,0.366,0.4,3221
2332.5,607.5,162.5,13,0.456,0.388,3521
2332.5,782.5,112.5,15,0.395,0.402,3221
2332.5,807.5,112.5,15,0.332,0.402,3221
2332.5,832.5,112.5,15,0.018,0.369,3221
2332.5,857.5,112.5,15,0.5,0.369,3221
2332.5,882.5,112.5,15,0.379,0.369,3221
2357.5,607.5,162.5,13,0.269,0.388,3221
2357.5,632.5,162.5,13,0.465,0.381,3221
2357.5,782.5,112.5,15,0.353,0.402,3221
2357.5,807.5,112.5,15,0.364,0.402,3221
2357.5,832.5,112.5,15,0.331,0.369,3221
2357.5,857.5,112.5,15,0.5,0.369,3221
2357.5,882.5,112.5,15,0.444,0.369,3221
2382.5,582.5,162.5,13,0.275,0.378,3521
2382.5,607.5,162.5,13,0.275,0.378,3221
2382.5,632.5,162.5,13,0.363,0.358,3221
2382.5,657.5,162.5,13,0.294,0.358,3221
2382.5,682.5,162.5,13,0.261,0.325,3221
2382.5,807.5,112.5,15,0.364,0.336,3221
2382.5,832.5,112.5,15,0.377,0.358,3221
2382.5,857.5,112.5,15,0.313,0.358,3221
2382.5,882.5,112.5,15,0.412,0.294,3221
2407.5,582.5,162.5,13,0.303,0.378,3521
2407.5,607.5,162.5,13,0.303,0.378,3221
2407.5,632.5,162.5,13,0.257,0.358,3221
2407.5,657.5,162.5,13,0.294,0.358,3221
2407.5,682.5,162.5,13,0.298,0.325,3221
2407.5,807.5,112.5,15,0.374,0.336,3221
2407.5,832.5,112.5,15,0.446,0.358,3221
2407.5,857.5,112.5,15,0.491,0.358,3221
2407.5,882.5,112.5,15,0.407,0.294,3221
2432.5,582.5,162.5,13,0.438,0.353,3521
2432.5,607.5,162.5,13,0.438,0.353,3221
2432.5,632.5,162.5,13,0.344,0.334,3221
2432.5,657.5,162.5,13,0.344,0.334,3221
2432.5,682.5,162.5,13,0.406,0.292,3221
2432.5,782.5,112.5,15,0.299,0.323,3221
2432.5,807.5,112.5,15,0.331,0.323,3221
2432.5,832.5,112.5,15,0.448,0.28,3221
2432.5,857.5,112.5,15,0.367,0.28,3221
2432.5,882.5,112.5,14,0.747,0.32,3221
2457.5,532.5,212.5,13,0.206,0.287,3221
2457.5,582.5,162.5,13,0.392,0.353,3221
2457.5,607.5,162.5,13,0.392,0.353,3221
2457.5,632.5,162.5,13,0.29,0.334,3221
2457.5,657.5,162.5,13,0.337,0.334,3221
2457.5,682.5,162.5,13,0.337,0.292,3221
2457.5,782.5,112.5,15,0.321,0.323,3221
2457.5,807.5,112.5,15,0.347,0.323,3221
2457.5,832.5,112.5,15,0.467,0.28,3221
2457.5,857.5,112.5,15,0.946,0.28,3521
2457.5,882.5,112.5,14,0.372,0.32,3521
2482.5,532.5,212.5,13,0.268,0.266,3221
2482.5,582.5,162.5,13,0.26,0.328,3221
2482.5,607.5,162.5,13,0.318,0.328,3221
2482.5,632.5,162.5,13,0.315,0.288,3221
2482.5,657.5,162.5,13,0.385,0.288,3221
2482.5,782.5,112.5,15,0.303,0.277,3221
2482.5,807.5,112.5,15,0.428,0.277,3221
2482.5,832.5,112.5,15,0.625,0.319,3221
