EAST,NORTH,RL,HOLEID,PL_CU,lookup_domain
1527.32,644.91,307.73,0209290929-52525,0.463,3310
1468.65,644.88,306.67,0209290929-52532,0.683,3310
1117.77,709.45,308.69,0209201546-50985,0.931,2310
1202.95,669.75,306.64,0209201546-50994,0.611,2310
1135.23,693.12,308.27,0209201546-50983,0.828,2310
1200.4,680.74,306.56,0209201546-50993,0.703,2310
1241.79,666.43,306.4,0209201546-50998,0.664,2310
2124.76,772.0,308.53,0209290929-52458,0.599,3210
2094.29,757.12,308.48,0209290929-52461,0.567,3210
2093.34,749.2,308.88,0209290929-52462,0.798,3210
2024.92,723.53,308.82,0209290929-52469,0.878,3210
1995.95,708.91,308.76,0209290929-52472,0.688,3210
1935.99,691.46,309.36,0209290929-52479,0.96,3310
1870.55,670.27,308.88,0209290929-52487,0.669,3310
1777.87,655.57,309.02,0209290929-52497,0.597,3310
1770.83,669.57,308.75,0209290929-52498,0.597,3310
1740.52,654.24,309.08,0209290929-52501,0.53,3310
1730.74,667.67,309.19,0209290929-52503,0.448,3310
1667.32,646.49,310.55,0209290929-52509,0.488,3310
1616.51,647.93,310.57,0209290929-52515,0.567,3310
1542.89,665.59,308.33,0209290929-52523,0.559,3310
1494.54,647.06,306.63,0209290929-52529,0.618,3310
1479.61,646.69,306.03,0209290929-52530,0.801,3310
1434.81,639.88,306.74,0209290929-52536,0.719,3310
1419.67,644.24,306.87,0209290929-52537,0.717,3310
1406.38,647.11,305.98,0209290929-52539,0.659,3310
1387.34,647.01,306.23,0209290929-52540,0.832,3310
1367.58,647.09,306.65,0209290929-52544,0.693,3310
1329.48,637.01,306.87,0209290929-52547,0.676,2310
1305.21,640.7,306.8,0209290929-52549,0.694,2310
2122.22,756.38,309.56,0209290929-52459,0.593,3210
2054.28,729.01,309.26,0209290929-52466,0.7,3210
1969.57,712.82,308.2,0209290929-52475,0.834,3310
1954.82,694.62,309.06,0209290929-52477,0.647,3310
1765.07,656.47,309.17,0209290929-52499,0.654,3310
1158.14,642.7,363.08,0206071162-33571,0.891,2310
831.94,769.71,360.79,0206071162-33776,0.592,2310
882.3,727.89,360.57,0206071162-34167,0.992,2310
1025.05,675.59,362.61,0206071162-34179,0.924,2310
1570.27,666.23,309.48,0209290929-52521,0.662,3310
1520.0,657.45,307.3,0209290929-52526,0.467,3310
1447.45,642.7,306.49,0209290929-52533,0.854,3310
1450.86,655.73,307.25,0209290929-52534,0.608,3310
1282.6,646.76,306.5,0209290929-52552,0.712,2310
1219.29,613.25,364.31,0206111202-33883,0.735,2310
1323.55,636.76,365.72,0206111202-34435,0.804,2310
1376.64,634.19,365.32,0206111202-34439,0.827,3310
2221.27,762.57,362.56,0206201161-35887,0.567,3521
1613.91,631.62,364.05,0206201162-35902,0.567,3310
1541.04,627.17,364.6,0206201162-35907,0.601,3310
1503.39,638.42,364.29,0206201162-35909,0.644,3310
1714.58,635.57,363.51,0206240658-35990,0.689,3310
2050.31,696.32,362.47,0206240658-35995,0.74,3210
1335.46,693.17,308.84,0209041620-48377,0.779,2310
1260.67,706.12,308.2,0209041620-48383,0.938,2310
921.07,779.93,311.06,0209171156-50544,0.76,2310
902.99,791.15,310.73,0209171156-50547,0.815,2310
876.53,791.84,311.02,0209171156-50549,0.701,2310
815.35,828.97,309.56,0209171156-50557,0.599,2310
1045.62,727.38,310.44,0209171156-50562,0.821,2310
1093.64,722.06,310.7,0209171156-50567,0.939,2310
1142.61,688.57,307.87,0209201546-50987,0.844,2310
1157.32,693.41,307.92,0209201546-50989,0.884,2310
1180.69,687.24,307.29,0209201546-50991,0.808,2310
1221.02,670.95,306.0,0209201546-50996,0.686,2310
2180.03,793.68,309.85,0209290929-52453,0.425,3521
2153.91,765.51,309.96,0209290929-52455,0.529,3521
1982.12,705.61,308.58,0209290929-52474,0.636,3310
1970.4,701.87,308.71,0209290929-52476,0.839,3310
1926.75,684.72,309.14,0209290929-52481,0.632,3310
1840.09,655.98,308.75,0209290929-52491,1.046,3310
1635.85,663.57,310.65,0209290929-52513,0.553,3310
1633.05,649.11,310.72,0209290929-52514,0.606,3310
1617.2,661.12,309.95,0209290929-52516,0.489,3310
1343.48,640.52,306.87,0209290929-52545,0.761,2310
940.72,775.01,311.09,0209171156-50542,0.752,2310
836.95,807.7,310.12,0209171156-50554,0.803,2310
811.3,819.03,309.88,0209171156-50558,0.638,2310
1071.17,730.89,310.94,0209171156-50565,0.991,2310
2065.6,824.97,264.74,0212141330-63984,0.689,3210
1038.63,813.53,264.4,0212141331-64010,0.726,2310
2198.91,813.61,309.82,0209290929-52452,0.4,3221
2030.67,730.84,308.0,0209290929-52468,0.735,3210
1830.48,671.34,308.52,0209290929-52493,0.638,3310
1794.71,668.78,308.71,0209290929-52495,0.557,3310
1714.54,654.0,310.09,0209290929-52504,0.555,3310
1700.42,667.83,309.99,0209290929-52505,0.495,3310
1647.35,652.1,310.21,0209290929-52512,0.593,3310
1495.89,660.3,307.01,0209290929-52528,0.483,3310
1434.93,648.2,306.7,0209290929-52535,0.738,3310
1405.97,648.07,307.26,0209290929-52538,0.747,3310
1297.5,638.31,307.12,0209290929-52550,0.668,2310
1268.43,645.67,307.09,0209290929-52553,0.635,2310
1694.3,767.73,262.98,0212221352-65158,0.533,3310
1160.61,799.63,257.75,0212221352-65181,0.683,2310
1220.25,792.26,257.6,0212221352-65185,0.988,2310
1635.47,759.65,261.35,0212221352-65213,0.491,3310
2051.2,824.02,264.77,0212221352-65120,0.87,3210
1664.04,769.62,261.16,0212221352-65160,0.797,3310
1158.16,806.23,257.78,0212221352-65180,0.768,2310
1091.98,807.58,257.85,0212231156-65270,0.865,2310
1091.85,812.34,256.81,0212231156-65271,0.908,2310
1661.87,765.68,261.35,0212221352-65215,0.565,3310
1073.51,820.42,257.34,0212231156-65269,0.837,2310
1874.87,789.67,262.73,0212221352-65139,0.477,3310
810.63,813.68,309.73,0209151210-50273,0.765,2310
961.66,771.39,311.57,0209171156-50540,0.751,2310
892.51,786.86,310.91,0209171156-50548,0.78,2310
1120.16,700.48,308.7,0209201546-50984,0.795,2310
1156.68,683.91,308.15,0209201546-50988,0.769,2310
1214.05,665.78,306.29,0209201546-50995,0.628,2310
1227.62,660.49,306.12,0209201546-50997,0.601,2310
1725.01,768.87,262.06,0212221352-65155,0.653,3310
2082.33,743.22,309.07,0209290929-52464,0.772,3210
2036.1,719.15,308.73,0209290929-52467,0.798,3210
1861.11,682.57,309.46,0209290929-52488,0.551,3310
1849.59,660.47,308.39,0209290929-52489,0.62,3310
1794.57,653.75,309.09,0209290929-52496,0.653,3310
1683.3,667.74,309.97,0209290929-52508,0.532,3310
1659.73,651.24,310.47,0209290929-52511,0.568,3310
1587.41,662.5,309.22,0209290929-52518,0.634,3310
1587.74,647.94,309.97,0209290929-52519,0.545,3310
1380.96,651.91,307.45,0209290929-52541,0.674,3310
1335.81,645.86,306.73,0209290929-52546,0.852,2310
1292.03,652.47,307.02,0209290929-52551,0.622,2310
2094.52,828.91,264.98,0212141330-63981,0.8,3210
2079.51,828.97,264.62,0212141330-63982,0.401,3210
1000.27,825.74,263.93,0212141331-64007,0.714,2310
1183.76,801.39,258.34,0212221352-65179,0.562,2310
1188.77,795.83,257.98,0212221352-65183,0.757,2310
1455.84,825.54,210.53,0302161456-22004,0.863,3310
1485.15,818.69,210.21,0302161456-22008,0.716,3310
1650.29,822.77,212.17,0302170723-22026,0.553,3310
2021.53,816.92,264.64,0212221352-65123,0.656,3310
1069.27,809.43,257.99,0212231156-65268,0.936,2310
1109.41,800.56,257.53,0212231156-65272,0.847,2310
1350.39,829.37,210.21,0302161456-19193,0.828,3310
1497.46,823.3,210.05,0302161456-22010,0.792,3310
1557.6,816.53,211.92,0302170723-22016,0.751,3310
1618.82,822.26,212.15,0302170723-22022,0.601,3310
1541.7,817.37,211.65,0302170723-22014,0.67,3310
1602.26,817.46,211.7,0302170723-22021,0.615,3310
1641.18,817.38,211.85,0302170723-22024,0.771,3310
1674.77,828.43,212.37,0302170723-22028,0.697,3310
1399.04,826.91,210.21,0302161456-19200,0.669,3310
1706.03,827.45,211.89,0302170723-22031,0.633,3310
1517.59,824.22,209.9,0302161456-22012,0.862,3310
1001.91,822.44,264.09,0212141331-64008,0.685,2310
1029.02,814.47,263.92,0212141331-64009,0.817,2310
1051.78,808.52,264.27,0212141331-64011,0.798,2310
1381.35,831.76,210.31,0302161456-19197,0.852,3310
1425.14,818.24,210.33,0302161456-22001,0.725,3310
1438.84,820.2,209.89,0302161456-22002,0.698,3310
1573.23,819.22,211.85,0302170723-22017,0.756,3310
1588.39,820.66,211.67,0302170723-22019,0.663,3310
2369.89,721.92,410.1,0404041644-26070,0.436,3521
2384.03,731.38,411.21,0404041644-26073,0.44,3521
2318.97,689.63,410.24,0404041644-26065,0.421,3221
2330.39,702.12,410.07,0404041644-26066,0.52,3521
2302.77,827.03,311.98,0406260905-38124,0.453,3521
2263.44,828.67,311.03,0406260905-38118,0.413,3521
2237.15,804.47,310.0,0406260905-38119,0.367,3221
2250.18,808.92,310.59,0406260905-38120,0.425,3521
2265.05,813.85,311.09,0406260905-38121,0.434,3521
2291.38,822.41,312.23,0406260905-38123,0.391,3521
2340.69,703.66,410.34,0404041644-26067,0.648,3521
2349.02,714.25,410.74,0404041644-26068,0.997,3521
2359.98,728.26,410.69,0404041644-26069,1.088,3521
2277.88,818.28,311.75,0406260905-38122,0.346,3521
2845.82,659.11,268.5,686042,0.572,3521
2827.55,624.56,269.62,686034,0.432,3521
2887.78,570.23,268.47,686086,0.179,3521
2926.2,593.88,268.21,686097,0.15,3521
2534.3,462.22,269.06,686108,0.192,3221
2383.71,421.05,267.75,686116,0.202,3521
1267.15,528.07,268.37,686129,0.546,2310
1081.45,576.79,264.86,686147,0.495,2310
1052.32,632.47,264.86,686150,0.524,2310
2826.82,647.2,269.0,686041,0.906,3521
2830.96,511.93,269.65,686091,0.099,3521
2888.6,547.46,268.41,686094,0.16,3521
2983.29,629.35,268.04,686100,0.323,3521
2945.85,583.35,267.82,686101,0.202,3521
2358.55,420.95,267.95,686115,0.28,3521
2345.92,399.82,268.21,686118,0.316,3521
1299.27,494.74,268.6,686127,0.499,2310
1242.24,535.94,267.36,686132,0.447,2310
1036.14,597.3,263.75,686157,0.604,2310
1038.54,572.53,264.11,686158,0.548,2310
1006.55,651.56,264.14,686159,0.568,2310
1013.18,607.8,263.22,686161,0.635,2310
3152.55,826.0,265.75,686196,0.25,3026
1606.06,786.4,215.58,686256,0.554,3310
957.86,824.07,214.9,686300,0.681,2310
2172.95,401.73,267.09,686378,0.761,3521
2457.86,376.63,266.99,686393,0.225,3521
2482.93,376.33,266.73,686394,0.237,3521
2558.09,375.38,268.08,686397,0.203,3521
2489.13,817.97,215.32,686429,0.247,3521
2514.39,817.67,214.83,686431,0.228,3521
2426.46,796.8,214.99,686432,0.312,3521
2526.56,796.05,214.7,686442,0.288,3521
3172.03,815.18,266.4,686197,0.172,3026
3173.9,770.43,267.13,686215,0.308,3026
3192.9,782.47,268.11,686216,0.283,3026
3250.41,817.7,267.06,686219,0.145,3026
1613.41,765.8,216.08,686262,0.449,3310
1620.62,745.43,215.88,686270,0.533,3310
1682.6,734.89,216.31,686273,0.689,3310
2923.12,683.88,268.21,686039,0.376,3521
2849.46,546.44,268.6,686084,0.28,3521
2868.49,558.45,268.77,686085,0.284,3521
2867.18,517.54,268.5,686090,0.301,3026
2849.86,524.17,268.96,686092,0.141,3026
2584.14,461.57,268.64,686110,0.177,3221
2295.69,400.35,268.24,686112,0.262,3521
1315.47,513.83,268.31,686123,0.537,2310
1259.47,547.1,268.24,686128,0.512,2310
2918.98,819.15,266.27,686136,0.146,3026
2938.04,830.86,266.04,686138,0.109,3026
1061.44,562.29,264.76,686153,0.589,2310
3191.52,827.18,265.78,686200,0.143,3026
1585.58,789.78,215.91,686255,0.623,3310
1668.2,776.14,216.57,686259,0.577,3310
1662.13,738.67,216.5,686272,0.533,3310
2513.7,774.36,214.83,686447,0.406,3521
2589.23,816.82,214.6,686451,0.316,3026
2563.83,773.84,214.86,686453,0.208,3521
2426.0,753.5,213.81,686454,0.369,3221
2525.97,752.51,214.44,686458,0.465,3521
2551.14,752.09,214.53,686459,0.227,3521
2163.8,777.87,217.22,686470,0.385,3221
1580.07,694.41,215.35,686483,0.625,3310
1204.28,812.78,214.14,686501,0.767,2310
1160.16,781.75,214.67,686504,0.737,2310
1104.71,716.0,214.8,686511,0.81,2310
1146.08,708.65,214.9,686515,0.732,2310
1553.17,660.35,215.52,686533,0.947,3310
2112.98,732.07,215.98,686566,0.441,3210
1540.83,585.49,216.99,686580,0.502,3310
1506.61,571.87,215.72,686585,0.53,3310
1761.9,597.33,217.72,686597,0.598,3310
1806.88,557.83,218.14,686613,0.484,3310
1896.54,556.48,217.13,686623,0.602,3310
1696.28,754.25,217.03,686638,0.743,3310
1752.71,734.24,217.68,686640,0.756,3310
1730.2,734.47,217.62,686643,0.725,3310
1730.86,694.87,217.45,686648,0.511,3310
1752.05,695.23,217.36,686649,0.602,3310
1207.27,756.35,215.12,686366_remove,0.231,2310
1227.97,753.01,215.26,686367_remove,0.018,2310
2195.79,401.59,267.65,686379,0.675,3521
2308.02,378.56,268.01,686387,0.299,3521
2583.12,374.99,268.31,686398,0.166,3521
2495.26,354.45,266.7,686413,0.165,3521
2539.29,817.34,214.4,686437,0.236,3521
2164.36,821.25,216.9,686474,0.476,3221
1642.18,683.94,216.08,686489,0.391,3310
1697.33,694.18,216.24,686492,0.51,3310
1628.83,666.95,214.34,686493,0.57,3310
1190.93,796.21,214.9,686502,0.664,2310
1144.11,765.05,215.26,686505,0.535,2310
1130.5,747.82,213.71,686506,0.577,2310
1083.65,719.18,215.58,686509,0.687,2310
1422.82,643.62,214.83,686525,0.589,3310
1594.67,653.66,216.11,686531,0.453,3310
2812.49,477.74,269.0,686087,0.082,3521
2849.49,503.2,269.23,686089,0.138,3026
2471.12,441.36,267.45,686106,0.264,3521
2395.62,399.07,267.65,686120,0.297,3521
1291.03,520.2,268.47,686126,0.495,2310
1086.21,526.86,265.16,686149,0.704,2310
3212.06,793.98,266.37,686217,0.327,3026
1675.45,755.47,216.67,686265,0.519,3310
1173.12,743.0,215.22,686373,0.688,2310
2232.8,379.45,267.78,686384,0.488,3521
2282.93,378.89,268.11,686386,0.263,3521
2332.96,378.14,267.52,686388,0.352,3521
2407.8,377.05,267.85,686391,0.31,3521
2608.02,374.56,268.44,686399,0.214,3521
2345.07,356.61,268.11,686407,0.242,3521
2520.26,354.35,267.65,686414,0.158,3521
2551.66,795.66,214.76,686443,0.308,3026
2463.8,774.99,214.73,686445,0.308,3521
2146.31,778.3,216.9,686464,0.525,3221
2201.23,756.06,216.54,686477,0.398,3221
1525.18,684.44,215.09,686480,0.603,3310
1559.73,697.92,215.22,686482,0.571,3310
1621.57,687.81,215.95,686485,0.476,3310
1663.14,680.53,216.17,686490,0.599,3310
1055.1,704.02,215.42,686499,0.832,2310
1677.58,639.68,217.09,686527,0.454,3310
1615.41,649.72,215.91,686530,0.482,3310
2903.86,672.0,268.08,686038,0.267,3521
2942.11,695.79,267.65,686040,0.142,3026
2811.77,500.25,269.78,686079,0.06,3521
2813.24,522.82,269.06,686081,0.273,3521
2831.61,489.82,268.9,686088,0.263,3521
2964.09,617.54,268.04,686099,0.142,3521
2559.07,461.86,268.7,686109,0.13,3221
2333.65,421.77,268.14,686114,0.361,3521
2408.52,420.72,267.49,686117,0.227,3521
2370.89,399.59,267.91,686119,0.361,3521
1235.49,556.81,267.52,686131,0.457,2310
2312.42,603.17,214.63,686658,0.307,3221
2350.74,711.08,216.4,686674,0.501,3221
2413.11,689.0,215.49,686679,0.342,3221
2438.08,688.47,214.83,686680,0.336,3221
1954.12,653.3,218.24,686690,2.172,3210
1999.1,652.91,217.59,686694,0.943,3210
2054.78,632.43,216.93,686700,0.576,3310
2089.59,647.89,216.5,686701,0.855,3210
2625.25,664.95,214.5,686733,0.374,3521
2687.52,642.9,214.7,686744,0.355,3521
2600.05,621.97,215.91,686747,0.307,3521
2612.19,600.22,215.65,686761,0.24,3521
2598.94,578.73,215.49,686767,0.188,3221
2712.81,642.67,214.9,686773,0.356,3521
2699.76,621.02,215.75,686777,0.314,3521
2699.33,577.64,215.91,686786,0.215,3521
2736.8,599.04,216.17,686790,0.214,3521
2762.72,641.92,215.58,686792,0.239,3521
2788.37,684.99,215.52,686794,0.242,3026
2488.44,731.45,214.53,686799,0.298,3221
2487.72,688.01,214.7,686809,0.513,3221
2499.99,622.92,214.63,686813,0.275,3221
2449.56,579.78,214.21,686816,0.183,3221
1539.85,643.46,215.42,686535,0.582,3310
2102.58,746.84,216.01,686553,0.424,3210
2114.09,805.43,217.09,686557,0.356,3210
2088.96,727.94,215.98,686570,0.535,3210
1533.48,605.66,215.49,686575,0.529,3310
1554.02,602.32,215.85,686576,0.499,3310
1485.75,575.35,215.55,686584,0.616,3310
1589.32,557.93,216.57,686589,0.538,3310
1465.31,578.69,215.09,686592,0.556,3310
1630.7,551.04,216.04,686596,0.595,3310
1807.01,596.97,217.91,686602,0.556,3310
1761.27,558.39,217.88,686605,0.55,3310
1795.56,577.05,218.24,686607,0.503,3310
1930.07,536.6,216.24,686619,0.528,3310
1874.1,557.07,217.13,686624,0.531,3310
1840.44,576.69,217.82,686629,0.503,3310
2287.13,603.46,214.76,686657,0.436,3221
2363.57,732.57,216.6,686675,0.673,3221
2032.76,632.89,216.21,686698,0.515,3310
2413.6,732.07,215.72,686706,0.683,3221
2374.4,581.06,215.39,686714,0.304,3221
2563.41,730.73,214.67,686726,0.255,3521
2650.41,664.36,213.91,686738,0.415,3521
2587.72,643.88,215.55,686739,0.018,3221
997.53,827.28,213.98,686293,0.693,2310
1248.81,749.76,215.12,686368,0.812,2310
1290.18,742.7,215.26,686370,0.696,2310
1131.75,749.72,214.83,686371,0.731,2310
2208.81,423.38,267.62,686375,0.41,3521
2183.52,423.31,266.99,686377,0.624,3521
2532.99,375.68,267.42,686396,0.205,3521
2445.16,355.17,266.99,686411,0.404,3521
2501.43,796.08,214.8,686441,0.362,3521
2091.49,766.39,215.98,686552,0.37,3210
2132.7,768.59,216.83,686559,0.507,3210
2143.52,747.72,216.99,686560,0.559,3210
2100.48,670.75,216.24,686564,0.519,3310
2100.94,709.73,216.04,686567,0.412,3210
1602.74,574.99,216.47,686583,0.553,3310
1492.08,612.88,215.68,686590,0.464,3310
1750.35,577.71,217.52,686600,0.481,3310
1772.43,538.9,217.68,686611,0.545,3310
1829.55,596.28,217.52,686630,0.535,3310
1741.19,714.52,217.19,686646,0.613,3310
1762.88,675.54,217.95,686652,0.779,3310
2263.44,733.58,216.93,686661,0.424,3221
2325.81,711.24,216.08,686672,0.34,3221
1908.91,653.99,219.09,686686,0.804,3310
2077.22,631.91,215.09,686702,0.839,3310
2400.68,710.35,215.72,686707,0.276,3221
2425.77,710.26,215.26,686708,0.311,3221
2412.22,602.12,214.5,686711,0.169,3221
2437.26,602.02,214.6,686712,0.217,3221
2550.84,708.94,214.37,686721,0.475,3521
2399.49,580.6,214.53,686724,0.217,3221
2600.54,708.58,214.4,686731,0.285,3521
2625.18,621.97,215.62,686748,0.228,3521
2649.79,621.48,215.06,686749,0.261,3521
1083.71,551.76,265.16,686148,0.585,2310
1056.35,611.93,264.5,686151,0.506,2310
