# mA,domain,n_blastholes,n_inference_pts,percentile(2.15),percentile(8.87),percentile(25),percentile(50),percentile(75),percentile(91.13),percentile(97.85)
12,3110,661,565,0.062252,0.088,0.127,0.169,0.227,0.297973,0.367244
12,3121,692,680,0.0405985,0.056,0.071,0.095,0.115,0.155,0.211204
12,3210,2421,2174,0.11872,0.189,0.269,0.391,0.491,0.607,0.757
12,3221,1057,864,0.076109,0.107548,0.165,0.268,0.38325,0.500452,0.659891
12,3310,3912,2791,0.371985,0.435,0.497,0.565,0.644,0.755527,1.03921
12,3321,242,187,0.259999,0.315487,0.381,0.46,0.5635,0.750509,0.930042
12,3521,3062,2678,0.039,0.063,0.114,0.185,0.28,0.426639,0.734194
12,5121,1,12,0.09,0.09,0.0945,0.1065,0.11325,0.124146,0.128581
13,2210,123,96,0.39117,0.429279,0.46275,0.508,0.576,0.685294,0.769235
13,2310,2653,2746,0.432,0.503,0.572,0.641,0.713,0.797519,0.900912
13,3016,86,73,0.366508,0.423159,0.493,0.621,1.025,1.39718,2.43219
13,3026,2088,1932,0.059,0.096,0.145,0.204,0.272,0.35772,0.479483
13,3110,690,565,0.062252,0.088,0.127,0.169,0.227,0.297973,0.367244
13,3121,692,680,0.0405985,0.056,0.071,0.095,0.115,0.155,0.211204
13,3210,2436,2238,0.119,0.19,0.274,0.397,0.5,0.620156,0.786904
13,3221,1101,946,0.0773175,0.110821,0.17325,0.2875,0.39475,0.506892,0.654555
13,3310,3965,3056,0.374,0.438,0.498,0.5665,0.644,0.751043,1.03363
13,3321,238,199,0.261285,0.315938,0.3785,0.454,0.5605,0.731685,0.926659
13,3521,3143,2762,0.039,0.064,0.115,0.187,0.285,0.43,0.72864
13,5121,1,12,0.09,0.09,0.0945,0.1065,0.11325,0.124146,0.128581
14,2210,123,96,0.39117,0.429279,0.46275,0.508,0.576,0.685294,0.769235
14,2310,2654,2746,0.432,0.503,0.572,0.641,0.713,0.797519,0.900912
14,3016,86,73,0.366508,0.423159,0.493,0.621,1.025,1.39718,2.43219
14,3026,2113,1972,0.059,0.096,0.146,0.206,0.275,0.363345,0.49387
